File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF436ZAN	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/, /files/ENCFF688ROA/	3610091	ENCODE Processing Pipeline	e5bb2ef52aa9add0b97e4b1d63975c1f		https://www.encodeproject.org/files/ENCFF436ZAN/@@download/ENCFF436ZAN.bed.gz				released	s3://encode-public/2020/07/03/34d48122-29d6-4658-8dde-fbbcf98a695a/ENCFF436ZAN.bed.gz			
ENCFF932JTA	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/, /files/ENCFF688ROA/, /files/ENCFF356LFX/	88410	ENCODE Processing Pipeline	c8c076489e74405a516826875022b6d9		https://www.encodeproject.org/files/ENCFF932JTA/@@download/ENCFF932JTA.bed.gz				released	s3://encode-public/2020/07/03/6cb15c24-4a8c-4a95-af1e-26ddc43ad9ea/ENCFF932JTA.bed.gz			
ENCFF395SQX	bam	bam		unfiltered alignments	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	2	2_1		100					/files/ENCFF545BPE/, /files/ENCFF562MJL/, /files/ENCFF110MCL/	6293225219	ENCODE Processing Pipeline	ca8f1ab95b982fa75e994150024297b7		https://www.encodeproject.org/files/ENCFF395SQX/@@download/ENCFF395SQX.bam				released	s3://encode-public/2020/07/03/6e4d8cf6-fb99-4137-b4a2-cd1a78051769/ENCFF395SQX.bam			
ENCFF688ROA	bam	bam		alignments	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	2	2_1		100					/files/ENCFF545BPE/, /files/ENCFF562MJL/, /files/ENCFF110MCL/	4877213931	ENCODE Processing Pipeline	270cfaa2233d75de74de73defbbd4395		https://www.encodeproject.org/files/ENCFF688ROA/@@download/ENCFF688ROA.bam				released	s3://encode-public/2020/07/03/13a8ddfb-7630-49a0-b377-eec06541ed78/ENCFF688ROA.bam			
ENCFF684HKV	bigWig	bigWig		fold change over control	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	2	2_1							/files/ENCFF174OKT/, /files/ENCFF688ROA/	1359372865	ENCODE Processing Pipeline	947800153dee7c955aa3ee4399c92192		https://www.encodeproject.org/files/ENCFF684HKV/@@download/ENCFF684HKV.bigWig				released	s3://encode-public/2020/07/03/0765047d-f56a-4107-8e85-20a6bf655ff1/ENCFF684HKV.bigWig			
ENCFF014HYS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/, /files/ENCFF688ROA/, /files/ENCFF356LFX/	89579	ENCODE Processing Pipeline	c86885f7cc7dd6b9618920da41d2bf12		https://www.encodeproject.org/files/ENCFF014HYS/@@download/ENCFF014HYS.bed.gz				released	s3://encode-public/2020/07/03/a0dbc014-eefc-4ba1-ae0e-9b99db39f3d1/ENCFF014HYS.bed.gz			
ENCFF680CWN	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	2	2_1							/files/ENCFF793MZJ/	122200	ENCODE Processing Pipeline	dc032ca77fe042537f3a8c26dcb01414		https://www.encodeproject.org/files/ENCFF680CWN/@@download/ENCFF680CWN.bigBed				released	s3://encode-public/2020/07/03/ea996be2-0a76-4eef-9d9e-5d95d19d1c0a/ENCFF680CWN.bigBed			
ENCFF365MNT	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF014HYS/	219838	ENCODE Processing Pipeline	bd0d252388e7ac98c02b21fe87eafa8b		https://www.encodeproject.org/files/ENCFF365MNT/@@download/ENCFF365MNT.bigBed				released	s3://encode-public/2020/07/03/25373f0a-b2f2-4f7e-9ad0-2e96be273ea9/ENCFF365MNT.bigBed			
ENCFF290JJA	bam	bam		unfiltered alignments	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1	1_1		100					/files/ENCFF241LHX/, /files/ENCFF099AKB/, /files/ENCFF110MCL/	5627270145	ENCODE Processing Pipeline	014e0c30cb256224a36ba0937655c25b		https://www.encodeproject.org/files/ENCFF290JJA/@@download/ENCFF290JJA.bam				released	s3://encode-public/2020/07/03/6565360c-a89c-4fab-9948-3749a35c40db/ENCFF290JJA.bam			
ENCFF037OUQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1	1_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/	1231422285	ENCODE Processing Pipeline	24576ef387a08a0cbe9390f627c3a64c		https://www.encodeproject.org/files/ENCFF037OUQ/@@download/ENCFF037OUQ.bigWig				released	s3://encode-public/2020/07/03/60b9d413-f21c-4d75-a1c5-431ab182c3fd/ENCFF037OUQ.bigWig			
ENCFF725JYE	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1	1_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/	2310996	ENCODE Processing Pipeline	4d2dcb0f5ba600f8e1f3c7118f2b9dca		https://www.encodeproject.org/files/ENCFF725JYE/@@download/ENCFF725JYE.bed.gz				released	s3://encode-public/2020/07/03/3bbcb438-07fb-4863-944d-5b22ea463eae/ENCFF725JYE.bed.gz			
ENCFF018GMI	bigWig	bigWig		fold change over control	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/, /files/ENCFF688ROA/	1983122216	ENCODE Processing Pipeline	45bf6745d209762cee9834211ab084a1		https://www.encodeproject.org/files/ENCFF018GMI/@@download/ENCFF018GMI.bigWig				released	s3://encode-public/2020/07/03/6117a951-ee43-491d-a394-6c091b167159/ENCFF018GMI.bigWig			
ENCFF219WOW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1	1_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/, /files/ENCFF356LFX/	30424	ENCODE Processing Pipeline	6339fb0d7da3189fff164a4a42ed5dcc		https://www.encodeproject.org/files/ENCFF219WOW/@@download/ENCFF219WOW.bed.gz				released	s3://encode-public/2020/07/03/7afd8302-037e-4dd2-9d4e-a7b856badee7/ENCFF219WOW.bed.gz			
ENCFF793MZJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	2	2_1							/files/ENCFF174OKT/, /files/ENCFF688ROA/, /files/ENCFF356LFX/	42873	ENCODE Processing Pipeline	25539619056c0f736dff7feda5e789e5		https://www.encodeproject.org/files/ENCFF793MZJ/@@download/ENCFF793MZJ.bed.gz				released	s3://encode-public/2020/07/03/bc333880-c649-4135-b08d-10e6183eeb56/ENCFF793MZJ.bed.gz			
ENCFF357HVB	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/, /files/ENCFF688ROA/	3620589	ENCODE Processing Pipeline	5c5fb6ff2512ff8c8f4fb79c59690520		https://www.encodeproject.org/files/ENCFF357HVB/@@download/ENCFF357HVB.bed.gz				released	s3://encode-public/2020/07/03/2fa9c9cb-1217-46a9-8c92-ffe1a41907b3/ENCFF357HVB.bed.gz			
ENCFF704VDF	bam	bam		alignments	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1	1_1		100					/files/ENCFF241LHX/, /files/ENCFF099AKB/, /files/ENCFF110MCL/	4365829480	ENCODE Processing Pipeline	d7a1c35b3aefcb65fb175675911b5a75		https://www.encodeproject.org/files/ENCFF704VDF/@@download/ENCFF704VDF.bam				released	s3://encode-public/2020/07/03/461e0992-d9c8-4b84-a7d7-4fe9aa66d270/ENCFF704VDF.bam			
ENCFF296QFM	bigWig	bigWig		fold change over control	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1	1_1							/files/ENCFF174OKT/, /files/ENCFF704VDF/	1226827467	ENCODE Processing Pipeline	3ed4019c4ccc9075e1b9ade3d8f2f862		https://www.encodeproject.org/files/ENCFF296QFM/@@download/ENCFF296QFM.bigWig				released	s3://encode-public/2020/07/03/d8855e41-95e0-440e-863e-ce4b198411c6/ENCFF296QFM.bigWig			
ENCFF472VYU	bigWig	bigWig		signal p-value	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	2	2_1							/files/ENCFF174OKT/, /files/ENCFF688ROA/	1069593739	ENCODE Processing Pipeline	7e58e7a38eb632890d2afd7d3f575c5a		https://www.encodeproject.org/files/ENCFF472VYU/@@download/ENCFF472VYU.bigWig				released	s3://encode-public/2020/07/03/b40a905d-2ce2-4b5a-a6e9-b948cd6c896a/ENCFF472VYU.bigWig			
ENCFF439GSZ	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	2	2_1							/files/ENCFF174OKT/, /files/ENCFF688ROA/	2559419	ENCODE Processing Pipeline	799bfc1710a7484a31faa2cdaa939e35		https://www.encodeproject.org/files/ENCFF439GSZ/@@download/ENCFF439GSZ.bed.gz				released	s3://encode-public/2020/07/03/52512561-d5ff-4681-acdd-4ad1f3776831/ENCFF439GSZ.bed.gz			
ENCFF522XZF	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1	1_1							/files/ENCFF219WOW/	103935	ENCODE Processing Pipeline	ef9758c1ef44822eff55f2338a00c751		https://www.encodeproject.org/files/ENCFF522XZF/@@download/ENCFF522XZF.bigBed				released	s3://encode-public/2020/07/03/d511000e-7bf6-4f5a-bf33-a3bd211d4128/ENCFF522XZF.bigBed			
ENCFF299IWZ	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR376UMR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF84-human/				ZNF84-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF932JTA/	218128	ENCODE Processing Pipeline	b9ce4a8c3f5371da875e807e2819933f		https://www.encodeproject.org/files/ENCFF299IWZ/@@download/ENCFF299IWZ.bigBed				released	s3://encode-public/2020/07/03/aa8a1bc8-9b1a-4770-ae6f-ad43745de83f/ENCFF299IWZ.bigBed			
ENCFF606DVM	fastq	fastq		reads		ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1	100		paired-ended	1	/files/ENCFF842JAX/			2265558835	Michael Snyder, Stanford	9efba5cef400c31a7ea4011f6d03f0c5		https://www.encodeproject.org/files/ENCFF606DVM/@@download/ENCFF606DVM.fastq.gz		Illumina HiSeq 4000	/files/ENCFF766LCF/	released	s3://encode-public/2018/12/22/70e8ec03-9272-465b-a457-102314875418/ENCFF606DVM.fastq.gz			
ENCFF842JAX	fastq	fastq		reads		ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1	100		paired-ended	2	/files/ENCFF606DVM/			2496306596	Michael Snyder, Stanford	a630a8e452a44fb6f707d427408b3c90		https://www.encodeproject.org/files/ENCFF842JAX/@@download/ENCFF842JAX.fastq.gz		Illumina HiSeq 4000	/files/ENCFF587UAW/	released	s3://encode-public/2018/12/22/81901c12-02ad-429e-91bf-e4c327ea3fd5/ENCFF842JAX.fastq.gz			
ENCFF861QLL	fastq	fastq		reads		ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1	100		paired-ended	1	/files/ENCFF900HKU/			2222316378	Michael Snyder, Stanford	926200a8477b915681c2ece7396ef40d		https://www.encodeproject.org/files/ENCFF861QLL/@@download/ENCFF861QLL.fastq.gz		Illumina HiSeq 4000	/files/ENCFF766LCF/	released	s3://encode-public/2018/12/22/113b235f-f593-433a-8669-98b51053aa58/ENCFF861QLL.fastq.gz			
ENCFF900HKU	fastq	fastq		reads		ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1	100		paired-ended	2	/files/ENCFF861QLL/			2434443976	Michael Snyder, Stanford	087d5c3bba29542725cce9c6122d9215		https://www.encodeproject.org/files/ENCFF900HKU/@@download/ENCFF900HKU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF587UAW/	released	s3://encode-public/2018/12/22/ac38ecec-d677-4f73-8913-2ff23b9c061d/ENCFF900HKU.fastq.gz			
ENCFF850YVX	bam	bam		unfiltered alignments	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1		100					/files/ENCFF861QLL/, /files/ENCFF900HKU/, /files/ENCFF110MCL/	4657148505	ENCODE Processing Pipeline	4e4edf298a866beb6f3d82649f6f07f5		https://www.encodeproject.org/files/ENCFF850YVX/@@download/ENCFF850YVX.bam				released	s3://encode-public/2020/07/01/cd9675ff-cfd0-4810-af2f-161f7e64cb16/ENCFF850YVX.bam			
ENCFF773RJT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF174OKT/, /files/ENCFF356LFX/, /files/ENCFF979JDY/	33706	ENCODE Processing Pipeline	644f76361e4b8d5a1adcc3847639a912		https://www.encodeproject.org/files/ENCFF773RJT/@@download/ENCFF773RJT.bed.gz				released	s3://encode-public/2020/07/01/a9142d3e-b12e-4458-8dcc-9905c722395d/ENCFF773RJT.bed.gz			
ENCFF653ERZ	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF773RJT/	94695	ENCODE Processing Pipeline	1052208f231a5a594788036e683eef1d		https://www.encodeproject.org/files/ENCFF653ERZ/@@download/ENCFF653ERZ.bigBed				released	s3://encode-public/2020/07/01/362a541e-1614-45f9-accb-82accc84529d/ENCFF653ERZ.bigBed			
ENCFF689GLX	bam	bam		alignments	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1		100					/files/ENCFF861QLL/, /files/ENCFF900HKU/, /files/ENCFF110MCL/	3691195488	ENCODE Processing Pipeline	38d39ab2cb5c2e82e7ee04f3b45eb414		https://www.encodeproject.org/files/ENCFF689GLX/@@download/ENCFF689GLX.bam				released	s3://encode-public/2020/07/01/d11687fa-cce9-4845-af30-1c3c1b3bcfe0/ENCFF689GLX.bam			
ENCFF551YRA	bigWig	bigWig		signal p-value	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF979JDY/, /files/ENCFF689GLX/	1507616354	ENCODE Processing Pipeline	56c21ba132e779868ecf51086344108d		https://www.encodeproject.org/files/ENCFF551YRA/@@download/ENCFF551YRA.bigWig				released	s3://encode-public/2020/07/01/68631207-13b4-41ea-b58f-a85dd0023766/ENCFF551YRA.bigWig			
ENCFF575LZV	bigWig	bigWig		fold change over control	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF979JDY/, /files/ENCFF689GLX/	1749385015	ENCODE Processing Pipeline	d941f5c53593326c633c911bec854de3		https://www.encodeproject.org/files/ENCFF575LZV/@@download/ENCFF575LZV.bigWig				released	s3://encode-public/2020/07/01/4d109983-15fb-486a-a638-30f6e71e60b1/ENCFF575LZV.bigWig			
ENCFF752WAG	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF356LFX/, /files/ENCFF979JDY/, /files/ENCFF689GLX/	50824	ENCODE Processing Pipeline	2bc4e976bf311d3d369595318cb79b60		https://www.encodeproject.org/files/ENCFF752WAG/@@download/ENCFF752WAG.bed.gz				released	s3://encode-public/2020/07/01/6a62f448-e437-4f33-bbbe-7173e54990ee/ENCFF752WAG.bed.gz			
ENCFF785PKJ	bam	bam		unfiltered alignments	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1		100					/files/ENCFF606DVM/, /files/ENCFF842JAX/, /files/ENCFF110MCL/	4764510573	ENCODE Processing Pipeline	51f2cd89fc2be76def926fac50d94a8f		https://www.encodeproject.org/files/ENCFF785PKJ/@@download/ENCFF785PKJ.bam				released	s3://encode-public/2020/07/01/20548dcf-11c3-4da3-83c2-c2ff56231bfe/ENCFF785PKJ.bam			
ENCFF979JDY	bam	bam		alignments	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1		100					/files/ENCFF606DVM/, /files/ENCFF842JAX/, /files/ENCFF110MCL/	3778791673	ENCODE Processing Pipeline	01ce1f41c9cbba6828c638ad1e6f738d		https://www.encodeproject.org/files/ENCFF979JDY/@@download/ENCFF979JDY.bam				released	s3://encode-public/2020/07/01/64ad3b46-0f1b-4c9f-93fb-9bb507da8dcd/ENCFF979JDY.bam			
ENCFF281FJZ	bigWig	bigWig		fold change over control	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF174OKT/, /files/ENCFF979JDY/	1104316951	ENCODE Processing Pipeline	77b05ee545382bdbe2008b69ff40c3a4		https://www.encodeproject.org/files/ENCFF281FJZ/@@download/ENCFF281FJZ.bigWig				released	s3://encode-public/2020/07/01/9b654286-f6f1-4aed-8abd-71816b79f8f9/ENCFF281FJZ.bigWig			
ENCFF958JFO	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF979JDY/, /files/ENCFF689GLX/	2836129	ENCODE Processing Pipeline	f0aac7b2a9d8b58f724957fa990d0e9c		https://www.encodeproject.org/files/ENCFF958JFO/@@download/ENCFF958JFO.bed.gz				released	s3://encode-public/2020/07/01/41229078-0b94-445d-b06f-2a9dda81ffa8/ENCFF958JFO.bed.gz			
ENCFF532UHT	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF611VBH/	80776	ENCODE Processing Pipeline	cc20886f47982c269aaae98cfa5f32f7		https://www.encodeproject.org/files/ENCFF532UHT/@@download/ENCFF532UHT.bigBed				released	s3://encode-public/2020/07/01/6e51cbd1-4c48-4223-b35f-c34e2ef6d2cc/ENCFF532UHT.bigBed			
ENCFF622FCS	bigWig	bigWig		signal p-value	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF174OKT/, /files/ENCFF979JDY/	1105741767	ENCODE Processing Pipeline	2d93b7f0e7928d02f32e56fd352cf022		https://www.encodeproject.org/files/ENCFF622FCS/@@download/ENCFF622FCS.bigWig				released	s3://encode-public/2020/07/01/734347a2-acfd-4ea7-8c0c-1dcfa49a48d1/ENCFF622FCS.bigWig			
ENCFF328QRP	bigWig	bigWig		signal p-value	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF174OKT/, /files/ENCFF689GLX/	911861176	ENCODE Processing Pipeline	d3fcfe432a9855876ac0b2d54afcaaa5		https://www.encodeproject.org/files/ENCFF328QRP/@@download/ENCFF328QRP.bigWig				released	s3://encode-public/2020/07/01/0b2faed0-a39f-4908-85db-078b4a545848/ENCFF328QRP.bigWig			
ENCFF834HCS	bigWig	bigWig		fold change over control	GRCh38	ENCSR044IXA	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF354B-human/				ZNF354B-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF174OKT/, /files/ENCFF689GLX/	1079181330	ENCODE Processing Pipeline	3656621e79a579b8b6e635e8d1be39c4		https://www.encodeproject.org/files/ENCFF834HCS/@@download/ENCFF834HCS.bigWig				released	s3://encode-public/2020/07/01/242022b4-6d0b-4ec5-944f-5cea706b58bd/ENCFF834HCS.bigWig			
